# Selection : patch(outletGeo)
# Faces  :    94
# Area   :    8.762406e-06
# Time        	areaAverage(U)
0.1212        	(-5.855701e-01 5.659235e-01 9.070407e-09)
0.121266      	(-5.867649e-01 5.671060e-01 9.078446e-09)
0.121331      	(-5.879599e-01 5.682885e-01 9.086611e-09)
0.121396      	(-5.891493e-01 5.694656e-01 9.099349e-09)
0.12146       	(-5.903397e-01 5.706435e-01 9.113557e-09)
0.121525      	(-5.915305e-01 5.718215e-01 9.127500e-09)
0.12159       	(-5.927215e-01 5.729995e-01 9.140806e-09)
0.121654      	(-5.939070e-01 5.741721e-01 9.158638e-09)
0.121718      	(-5.950938e-01 5.753458e-01 9.178024e-09)
0.121782      	(-5.962811e-01 5.765198e-01 9.197177e-09)
0.121846      	(-5.974630e-01 5.776885e-01 9.220334e-09)
0.12191       	(-5.986460e-01 5.788581e-01 9.243935e-09)
0.121973      	(-5.998293e-01 5.800278e-01 9.265900e-09)
